Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Included / International,Price / International,Compare At Price / International,Status
elevate-her-style-with-sawaveer,Elevate Her Style with SAWAVEER,"<p>When it comes to adding versatile and stylish pieces to her wardrobe, the SAWAVEER Classic Tee for Girls is a top choice. This t-shirt combines comfort, trendiness, and practicality, making it a must-have for any girl’s everyday outfits.</p>
<p><strong>Exceptional Comfort and Quality</strong></p>
<p>Crafted from high-quality, soft fabric, the SAWAVEER Classic Tee provides unbeatable comfort that lasts all day. Its breathable material ensures she stays cool and comfortable, whether she’s at school, hanging out with friends, or enjoying weekend activities.</p>
<p><strong>Stylish Versatility</strong></p>
<p>The Classic Tee’s timeless design and range of vibrant colors make it a versatile piece that pairs effortlessly with any outfit. From casual jeans and shorts to skirts and leggings, this tee adapts to her unique style and helps her look effortlessly chic.</p>
<p><strong>Easy Care for Busy Lives</strong></p>
<p>Designed with convenience in mind, the SAWAVEER Classic Tee is machine washable and maintains its color and shape after multiple washes. This practical feature makes it a go-to option for parents who need reliable, low-maintenance clothing.</p>
<p><strong>A Wardrobe Essential</strong></p>
<p>The SAWAVEER Classic Tee is more than just a shirt—it’s an essential part of her wardrobe that blends style with comfort. Its classic design and quality fabric make it a favorite for any occasion, whether she’s dressing up for a special event or keeping it casual on a regular day.</p>
<p>Upgrade her wardrobe with the SAWAVEER Classic Tee and experience the perfect combination of style, comfort, and durability. Shop now to add this essential piece to her collection and watch her shine in every outfit!</p>",SAWAVEER,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Color,white,product.metafields.shopify.color-pattern,Size,m,product.metafields.shopify.size,,,,"",0.0,shopify,1000,continue,manual,1600.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/6a_53a014cd-c332-473b-ae61-ecb0844ccd67.png?v=1724548887,1,"",false,,,,,,,,,,,,,,adults,white; beige,cotton,crew,m; l; xl,short,female,medium,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/6a_53a014cd-c332-473b-ae61-ecb0844ccd67.png?v=1724548887,kg,,,true,,,true,,,active
elevate-her-style-with-sawaveer,,,,,,,,,white,,,l,,,,,"",0.0,shopify,1000,continue,manual,1600.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/5a.png?v=1724548889,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/6a_53a014cd-c332-473b-ae61-ecb0844ccd67.png?v=1724548887,kg,,,,,,,,,
elevate-her-style-with-sawaveer,,,,,,,,,white,,,xl,,,,,"",0.0,shopify,1000,continue,manual,1600.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2285_copy.jpg?v=1724548880,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/6a_53a014cd-c332-473b-ae61-ecb0844ccd67.png?v=1724548887,kg,,,,,,,,,
elevate-her-style-with-sawaveer,,,,,,,,,beige,,,m,,,,,"",0.0,shopify,1000,continue,manual,1600.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2265_copy.jpg?v=1724548895,4,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2265_copy.jpg?v=1724548895,kg,,,,,,,,,
elevate-her-style-with-sawaveer,,,,,,,,,beige,,,l,,,,,"",0.0,shopify,1000,continue,manual,1600.00,2000.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2265_copy.jpg?v=1724548895,kg,,,,,,,,,
elevate-her-style-with-sawaveer,,,,,,,,,beige,,,xl,,,,,"",0.0,shopify,1000,continue,manual,1600.00,2000.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2265_copy.jpg?v=1724548895,kg,,,,,,,,,
sawaveer-classic-tee-for-boys-essential-comfort-and-style,SAWAVEER Classic Tee for Boys &Girls- Essential Comfort and Style,"<p>Elevate his everyday look with the SAWAVEER Classic Tee. Crafted from premium, soft fabric, this t-shirt offers unmatched comfort and durability. Designed with a versatile fit and timeless style, it’s perfect for school, play, and everything in between. Available in a range of colours and sizes, this tee is a must-have addition to any boy’s wardrobe. Make every day stylish and comfortable with SAWAVEER.</p>",SAWAVEER,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,"","",true,Color,white,product.metafields.shopify.color-pattern,Size,l,product.metafields.shopify.size,,,,"",0.0,shopify,4999,continue,manual,1599.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1a.png?v=1724548868,1,"",false,,,,,,,,,,,,,,kids,white; beige,cotton,crew,l; m; xl,short,male,medium,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1a.png?v=1724548868,kg,,,true,,,true,,,active
sawaveer-classic-tee-for-boys-essential-comfort-and-style,,,,,,,,,white,,,m,,,,,"",0.0,shopify,4999,continue,manual,1599.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/8a.png?v=1724548871,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1a.png?v=1724548868,kg,,,,,,,,,
sawaveer-classic-tee-for-boys-essential-comfort-and-style,,,,,,,,,white,,,xl,,,,,"",0.0,shopify,5000,continue,manual,1599.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2265copy.jpg?v=1724548874,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1a.png?v=1724548868,kg,,,,,,,,,
sawaveer-classic-tee-for-boys-essential-comfort-and-style,,,,,,,,,beige,,,l,,,,,"",0.0,shopify,5000,continue,manual,1599.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2274_copy.jpg?v=1724548877,4,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/9a.png?v=1724548885,kg,,,,,,,,,
sawaveer-classic-tee-for-boys-essential-comfort-and-style,,,,,,,,,beige,,,m,,,,,"",0.0,shopify,4999,continue,manual,1599.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/1H5A2285_copy.jpg?v=1724548880,5,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/9a.png?v=1724548885,kg,,,,,,,,,
sawaveer-classic-tee-for-boys-essential-comfort-and-style,,,,,,,,,beige,,,xl,,,,,"",0.0,shopify,5000,continue,manual,1599.00,2000.00,true,true,"",https://cdn.shopify.com/s/files/1/0665/8454/3421/files/4a.png?v=1724548882,6,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/9a.png?v=1724548885,kg,,,,,,,,,
sawaveer-classic-tee-for-boys-essential-comfort-and-style,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/8454/3421/files/9a.png?v=1724548885,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
